fecha,producto,cantidad_vendida,monto_venta,clientes,tienda
2023-01-01,anillo,2,270.97,373,42
2023-01-01,pulsera,3,2548.82,351,19
2023-01-01,dije,4,1047.95,369,12
2023-01-01,cadena,4,3372.64,362,35
2023-01-01,gemelos,3,820.1,378,3
2023-01-01,aros,5,2878.48,348,11
2023-01-01,alfiler,3,2044.73,383,33
2023-01-01,reloj,4,2981.05,395,24
2023-01-01,anillo,4,3222.98,380,31
2023-01-01,collar,2,1400.66,367,7
2023-01-01,collar,2,1473.22,357,4
2023-01-01,collar,3,1523.88,384,13
2023-01-01,pulsera,4,3435.18,385,11
2023-01-01,broche,3,2630.96,367,23
2023-01-01,alfiler,3,2312.64,361,17
2023-01-01,aros,4,701.52,365,40
2023-01-01,pulsera,4,592.04,387,19
2023-01-01,alfiler,3,1108.93,363,12
2023-01-01,alfiler,2,1638.09,372,1
2023-01-01,aros,3,1517.33,379,13
2023-01-01,pulsera,3,2435.96,358,3
2023-01-01,aros,3,2028.69,338,3
2023-01-01,aros,2,927.77,362,19
2023-01-01,gemelos,4,803.81,353,34
2023-01-01,reloj,4,1306.82,378,31
2023-01-01,alfiler,3,2922.42,358,7
2023-01-01,gemelos,4,776.1,333,24
2023-01-01,reloj,3,2515.7,376,23
2023-01-01,gemelos,1,332.83,362,40
2023-01-01,collar,2,886.43,383,31
2023-01-02,reloj,5,1445.41,348,17
2023-01-02,gemelos,3,339.36,359,25
2023-01-02,alfiler,3,1864.83,325,9
2023-01-02,aros,2,1925.07,378,2
2023-01-02,aros,4,3859.0,333,15
2023-01-02,broche,2,689.35,376,13
2023-01-02,anillo,3,461.83,341,4
2023-01-02,gemelos,3,2602.67,353,42
2023-01-02,dije,4,1713.4,353,3
2023-01-02,aros,2,805.8,388,18
2023-01-02,reloj,3,1779.04,341,38
2023-01-02,cadena,4,2664.12,358,35
2023-01-02,pulsera,4,816.71,341,12
2023-01-02,dije,4,3515.1,341,13
2023-01-02,aros,2,1396.05,364,41
2023-01-02,anillo,6,5259.16,369,35
2023-01-03,cadena,2,1457.8,356,27
2023-01-03,gemelos,2,405.66,350,29
2023-01-03,reloj,2,627.44,372,24
2023-01-03,dije,5,3296.19,368,35
2023-01-03,pulsera,6,3744.09,379,40
2023-01-03,cadena,3,2594.12,348,29
2023-01-03,aros,4,668.0,352,15
2023-01-03,cadena,4,2970.01,345,34
2023-01-03,pulsera,3,2895.69,376,18
2023-01-03,collar,2,1209.75,374,32
2023-01-03,alfiler,3,2782.5,369,31
2023-01-03,pulsera,1,571.07,395,25
2023-01-03,anillo,2,264.14,351,3
2023-01-03,dije,6,3372.49,365,16
2023-01-03,collar,1,342.35,326,16
2023-01-03,reloj,2,1378.72,344,36
2023-01-04,alfiler,4,2257.17,333,13
2023-01-04,broche,2,780.2,378,27
2023-01-04,dije,3,827.99,365,36
2023-01-04,gemelos,3,1952.47,351,4
2023-01-04,aros,2,639.55,348,9
2023-01-04,reloj,2,1458.6,377,22
2023-01-04,reloj,2,1232.37,339,39
2023-01-04,pulsera,5,2216.1,379,23
2023-01-04,alfiler,3,2803.42,340,21
2023-01-04,dije,3,1767.03,353,17
2023-01-04,gemelos,2,1731.32,387,26
2023-01-04,reloj,4,2085.33,366,15
